plan_id,dataset_category,svg_path,scaled_image_path,gfa_svg_units_squared,gfa_m2,included_space_count,excluded_space_count,undefined_space_count,median_door_width_svg_units,scale_m_per_svg_unit,included_space_types
6522,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\6522\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\6522\F1_scaled.png,160079.2688,20.04896572,4,1,2,80.42,0.011191246,"Entry, Room, Undefined"
13281,colorful,D:\Data\Raw\CubiCasa_Raw\colorful\13281\model.svg,D:\Data\Raw\CubiCasa_Raw\colorful\13281\F1_scaled.png,205031.6058,20.40328925,5,1,1,90.22,0.009975615,"Bath, Entry, Kitchen, LivingRoom, Undefined"
13733,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\13733\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\13733\F1_scaled.png,208664.499,20.41934095,4,1,0,90.98,0.009892284,"Entry, Kitchen, LivingRoom, UserDefined"
13197,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\13197\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\13197\F1_scaled.png,203521.942,21.11469646,5,0,1,88.36,0.010185604,"Bath, Entry, Kitchen, LivingRoom, Undefined"
14146,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\14146\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\14146\F1_scaled.png,205680.67,21.49405864,4,1,0,88.04,0.010222626,"Bath, Entry, Kitchen, LivingRoom"
12012,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\12012\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\12012\F1_scaled.png,199708.3206,21.5200355,4,1,0,86.7,0.010380623,"Bath, Entry, Kitchen, LivingRoom"
9312,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\9312\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\9312\F1_scaled.png,213636.3524,21.56924903,3,1,3,89.57,0.010048007,Undefined
14926,colorful,D:\Data\Raw\CubiCasa_Raw\colorful\14926\model.svg,D:\Data\Raw\CubiCasa_Raw\colorful\14926\F1_scaled.png,207338.787,21.81078627,3,1,0,87.75,0.01025641,"Bath, Entry, UserDefined"
10354,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\10354\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\10354\F1_scaled.png,168767.737,22.18375869,3,1,1,78.5,0.011464968,"Bath, Room, Undefined"
13436,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\13436\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\13436\F1_scaled.png,244252.6949,22.47195985,5,1,1,93.83,0.009591815,"Bath, Entry, Kitchen, Room, Undefined"
3240,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\3240\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\3240\F1_scaled.png,439468.1245,22.83680302,3,1,1,124.85,0.00720865,"DressingRoom, Room, Undefined"
12007,high_quality_architectural,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\12007\model.svg,D:\Data\Raw\CubiCasa_Raw\high_quality_architectural\12007\F1_scaled.png,233799.2457,22.90412696,4,1,0,90.93,0.009897724,"Bath, Entry, Kitchen, Room"
8395,colorful,D:\Data\Raw\CubiCasa_Raw\colorful\8395\model.svg,D:\Data\Raw\CubiCasa_Raw\colorful\8395\F1_scaled.png,235202.1552,23.04137451,4,1,0,90.93037171,0.009897683,"Bath, Entry, Kitchen, LivingRoom"
